,cash,LQD,EFA,IEF,EEM,TLT,SHY,SPY
2008-09-09,0.0,0.0,0.0,0.0,0.0,0.0,1.168765673730118,1.1299624835167598e-10
2008-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1690470961654305,1.1345471179398746e-10
2008-09-11,0.0,0.0,0.0,0.0,0.0,0.0,1.1686263226384672,1.1509621004897985e-10
2008-09-12,0.0,0.0,0.0,0.0,0.0,0.0,1.1687656737301182,1.1562808480018187e-10
2008-09-15,0.0,0.0,0.0,0.0,0.0,0.0,1.1770581146897998,1.1012589659692669e-10
2008-09-16,0.0,0.0,0.0,0.0,0.0,0.0,1.1749502903247855,1.1196913536082925e-10
2008-09-17,0.0,0.0,0.0,0.0,0.0,0.0,1.1805729275835581,1.0693464808971456e-10
2008-09-18,0.0,0.0,0.0,0.0,0.0,0.0,1.1767765686066685,1.101075691220963e-10
2008-09-19,0.0,0.0,0.0,0.0,0.0,0.0,1.17017192037195,1.1448039583181673e-10
2008-09-22,0.0,0.0,0.0,0.0,0.0,0.0,1.1710155694387943,1.1188858850590315e-10
2008-09-23,0.0,0.0,0.0,0.0,0.0,0.0,1.171858352970908,1.0934296862913456e-10
2008-09-24,0.0,0.0,0.0,0.0,0.0,0.0,1.1743879400454351,1.0969344931858471e-10
2008-09-25,0.0,0.0,0.0,0.0,0.0,0.0,1.1722791264978714,1.1140897655893328e-10
2008-09-26,0.0,0.0,0.0,0.0,0.0,0.0,1.1722791264978714,1.114643369645452e-10
2008-09-29,0.0,0.0,0.0,0.0,0.0,0.0,1.1790262170197074,1.0272977406433019e-10
2008-09-30,0.0,0.0,0.0,0.0,0.0,0.0,1.1743879400454351,1.0698175744403213e-10
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1.1780540979261298,1.185026298213823e-10
2008-10-02,0.0,0.0,0.0,0.0,0.0,0.0,1.180592340348087,1.1420402361450724e-10
2008-10-03,0.0,0.0,0.0,0.0,0.0,0.0,1.1838361172234584,1.126622397502375e-10
2008-10-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1862337720755713,1.0692397802357805e-10
2008-10-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1865146999196228,1.021352639434922e-10
2008-10-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1814384623713456,9.956223588047485e-11
2008-10-09,0.0,0.0,0.0,0.0,0.0,0.0,1.1821432549378477,9.260887444133701e-11
2008-10-10,0.0,0.0,0.0,0.0,0.0,0.0,1.183977075736759,9.036261217563475e-11
2008-10-13,0.0,0.0,0.0,0.0,0.0,0.0,1.178760374266456,1.0348301722063737e-10
2008-10-14,0.0,0.0,0.0,0.0,0.0,0.0,1.1790409311670513,1.0195145945821376e-10
2008-10-15,0.0,0.0,0.0,0.0,0.0,0.0,1.1829897479045623,9.191459152467923e-11
2008-10-16,0.0,0.0,0.0,0.0,0.0,0.0,1.1822852026336976,9.57435114449644e-11
2008-10-17,0.0,0.0,0.0,0.0,0.0,0.0,1.1831315719525937,9.517173763665102e-11
2008-10-20,0.0,0.0,0.0,0.0,0.0,0.0,1.1822852026336976,1.0088958798238005e-10
2008-10-21,0.0,0.0,0.0,0.0,0.0,0.0,1.1846819919510798,9.787749070416843e-11
2008-10-22,0.0,0.0,0.0,0.0,0.0,0.0,1.1863748542366905,9.254763009285527e-11
2008-10-23,0.0,0.0,0.0,0.0,0.0,0.0,1.185669814374551,9.361971746484466e-11
2008-10-24,0.0,0.0,0.0,0.0,0.0,0.0,1.1866562766720166,8.887188738076244e-11
2008-10-27,0.0,0.0,0.0,0.0,0.0,0.0,1.183695529653614,8.571681858482369e-11
2008-10-28,0.0,0.0,0.0,0.0,0.0,0.0,1.1851061039691677,9.573332616588012e-11
2008-10-29,0.0,0.0,0.0,0.0,0.0,0.0,1.1858099073531205,9.503899222077002e-11
2008-10-30,0.0,0.0,0.0,0.0,0.0,0.0,1.186797606128773,9.83267656098279e-11
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,1.1873614401819748,9.886791214105521e-11
2008-11-03,0.0,0.0,0.0,0.0,0.0,0.0,1.1895843807147763,1.196624821876227e-10
2008-11-04,0.0,0.0,0.0,0.0,0.0,0.0,1.1891596504575774,1.2372885863996565e-10
2008-11-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1912831780957531,1.1852875100138321e-10
2008-11-06,0.0,0.0,0.0,0.0,0.0,0.0,1.191707908352952,1.1196098289519759e-10
2008-11-07,0.0,0.0,0.0,0.0,0.0,0.0,1.1895843807147763,1.1565773802738444e-10
2008-11-10,0.0,0.0,0.0,0.0,0.0,0.0,1.193264758038073,1.141420565992469e-10
2008-11-11,0.0,0.0,0.0,0.0,0.0,0.0,1.1941147131437457,1.1061780783860639e-10
2008-11-12,0.0,0.0,0.0,0.0,0.0,0.0,1.1959548399814848,1.0575049487082093e-10
2008-11-13,0.0,0.0,0.0,0.0,0.0,0.0,1.1929811099419991,1.1234298240351615e-10
2008-11-14,0.0,0.0,0.0,0.0,0.0,0.0,1.1926989456197494,1.067363528957877e-10
2008-11-17,0.0,0.0,0.0,0.0,0.0,0.0,1.1948219786666503,1.0531922894195502e-10
2008-11-18,0.0,0.0,0.0,0.0,0.0,0.0,1.1960962930860657,1.0730313843097406e-10
2008-11-19,0.0,0.0,0.0,0.0,0.0,0.0,1.1977950904670425,1.0042729508050104e-10
2008-11-20,0.0,0.0,0.0,0.0,0.0,0.0,1.2000599475619804,9.297223258195606e-11
2008-11-21,0.0,0.0,0.0,0.0,0.0,0.0,1.1980773784371108,9.798741871101422e-11
2008-11-24,0.0,0.0,0.0,0.0,0.0,0.0,1.1951052558192683,1.0477705198383202e-10
2008-11-25,0.0,0.0,0.0,0.0,0.0,0.0,1.1960962930860657,1.0555337992221117e-10
2008-11-26,0.0,0.0,0.0,0.0,0.0,0.0,1.1997765467615435,1.0963212224611148e-10
2008-11-28,0.0,0.0,0.0,0.0,0.0,0.0,1.2004849251148164,1.1101219785169258e-10
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.2024597044770753,1.2095763470083933e-10
2008-12-02,0.0,0.0,0.0,0.0,0.0,0.0,1.202317262189939,1.2561264167084434e-10
2008-12-03,0.0,0.0,0.0,0.0,0.0,0.0,1.2033115143000634,1.2863250280894935e-10
2008-12-04,0.0,0.0,0.0,0.0,0.0,0.0,1.2035947914526932,1.2565678505725272e-10
