,cash,SPY,LQD,EEM,EFA,TLT,IEF,SHY
2005-03-21,0.0,0.0,1.143165181692146e-13,0.9632178804054807,0.0,1.233776395223772e-13,6.617281179253978e-14,1.0105533029412242e-14
2005-03-22,0.0,0.0,1.1333327393986376e-13,0.9454098178986718,0.0,1.2233112559893593e-13,6.568864495590575e-14,1.0088031051896605e-14
2005-03-23,0.0,0.0,1.1366802784036476e-13,0.9334290777848506,0.0,1.2291717741230475e-13,6.583936494110346e-14,1.0086777105926153e-14
2005-03-24,0.0,0.0,1.139086282332927e-13,0.9324035453519997,0.0,1.2316823815721106e-13,6.589494176254435e-14,1.0089278731270505e-14
2005-03-28,0.0,0.0,1.137412671752707e-13,0.938836704446276,0.0,1.2241480034347534e-13,6.568067256316444e-14,1.0084282373838009e-14
2005-03-29,0.0,0.0,1.1393994386949368e-13,0.914548961547992,0.0,1.231403800443787e-13,6.595053735359737e-14,1.0091780356614858e-14
2005-03-30,0.0,0.0,1.1423290120911744e-13,0.9353868769324277,0.0,1.2375434473751205e-13,6.610131834003442e-14,1.0093034302585312e-14
2005-03-31,0.0,0.0,1.1463032611259155e-13,0.9454098178986718,0.0,1.2464736520571447e-13,6.642674587469917e-14,1.010677444218959e-14
2005-04-01,0.0,0.0,1.713603957804683e-15,4.030109579389318e-14,0.9510043106822144,1.5138049215572881e-15,2.7615597745325493e-16,0.0
2005-04-04,0.0,0.0,1.7030972038426568e-15,4.03899955097705e-14,0.9513045311288137,1.5134681714376754e-15,2.760234958719926e-16,0.0
2005-04-05,0.0,0.0,1.7082730844343734e-15,4.038010988405791e-14,0.9564042977717201,1.5095689188223575e-15,2.760569618291109e-16,0.0
2005-04-06,0.0,0.0,1.707331972080435e-15,4.093326051993737e-14,0.9591041775750648,1.5148230161610383e-15,2.7688278639862856e-16,0.0
2005-04-07,0.0,0.0,1.6987044758894822e-15,4.1346154408798525e-14,0.9630044841991746,1.5026178130068886e-15,2.758255424967868e-16,0.0
2005-04-08,0.0,0.0,1.7041947331048535e-15,4.115058354373275e-14,0.9630044841991746,1.5078734570980874e-15,2.761228229884659e-16,0.0
2005-04-11,0.0,0.0,1.7088988707448798e-15,4.0755465815885144e-14,0.966604513505981,1.5160098172715628e-15,2.769490174551245e-16,0.0
2005-04-12,0.0,0.0,1.7158009151686309e-15,4.126910704283104e-14,0.9690046846990626,1.5300801829976616e-15,2.7840269375068336e-16,0.0
2005-04-13,0.0,0.0,1.7198790291432062e-15,4.0447285807420004e-14,0.9588043552233937,1.526350410265377e-15,2.7853474702999307e-16,0.0
2005-04-14,0.0,0.0,1.7136039578046829e-15,3.941207736045928e-14,0.9462043663909794,1.5239779128675549e-15,2.792616143801784e-16,0.0
2005-04-15,0.0,0.0,1.7214472332598445e-15,3.858237031744968e-14,0.9346245242475401,1.5441492229358877e-15,2.810789774383474e-16,0.0
2005-04-18,0.0,0.0,1.7217618472384438e-15,3.9038709427490076e-14,0.9312044907190036,1.5429626427900086e-15,2.804841049626601e-16,0.0
2005-04-19,0.0,0.0,1.7289760134138795e-15,3.9692612129156677e-14,0.9435643145682792,1.5578812917898557e-15,2.821031252802118e-16,0.0
2005-04-20,0.0,0.0,1.7299167697354016e-15,3.875621266229783e-14,0.9315044836827867,1.5539830335154422e-15,2.819380732822776e-16,0.0
2005-04-21,0.0,0.0,1.7208202601746171e-15,3.987239719591813e-14,0.9483644294716265,1.5377086559336505e-15,2.7992264003927935e-16,0.0
2005-04-22,0.0,0.0,1.7289760134138795e-15,3.9431846248033246e-14,0.9450044514065506,1.55059244151387e-15,2.811119372204308e-16,0.0
2005-04-25,0.0,0.0,1.7332118497489068e-15,4.017860575248363e-14,0.9499845052174638,1.5551692822143536e-15,2.811119372204308e-16,0.0
2005-04-26,0.0,0.0,1.7303880379772033e-15,3.976769749862931e-14,0.9381046701102412,1.552795790475627e-15,2.8097990340939165e-16,0.0
2005-04-27,0.0,0.0,1.7388591172598975e-15,3.940814154821359e-14,0.9355843311195342,1.5582192572150183e-15,2.8183862935618094e-16,0.0
2005-04-28,0.0,0.0,1.7460729274029167e-15,3.8779912634415095e-14,0.9229843991578239,1.5697473142132933e-15,2.8355680157577076e-16,0.0
2005-04-29,0.0,0.0,1.739799280194059e-15,3.95642148236018e-14,0.9378045634050501,1.5670354151201135e-15,2.8253269267044754e-16,0.0
2005-05-02,0.0,3.715975075354891e-17,0.0,1.4311535842694262e-16,1.1102230246251565e-16,0.9375043998291982,5.2041948518888257e-17,0.0
2005-05-03,0.0,3.722359642878065e-17,0.0,1.4298038350862105e-16,1.112638801927762e-16,0.9400496543610571,5.210903534914087e-17,0.0
2005-05-04,0.0,3.7510910487805417e-17,0.0,1.4687775242141527e-16,1.1258552656478788e-16,0.9318038071575949,5.209683741797143e-17,0.0
2005-05-05,0.0,3.749814680586751e-17,0.0,1.4765155199091945e-16,1.1274893332445643e-16,0.9339416120497269,5.226150411522095e-17,0.0
2005-05-06,0.0,3.738003247709843e-17,0.0,1.4804912065530727e-16,1.1225868610620009e-16,0.9270186704589428,5.188946900573226e-17,0.0
2005-05-09,0.0,3.761307788258586e-17,0.0,1.4818395966433411e-16,1.1251443388230587e-16,0.9279358453497315,5.18833754136855e-17,0.0
2005-05-10,0.0,3.7223596428780654e-17,0.0,1.4485457268284824e-16,1.1095122998447165e-16,0.9345524228920824,5.206633721650987e-17,0.0
